title,description,creator,contributors,source,date,date is approximate,subject,location,country,state,county,city,latitude,longitude,identifier,rights,rightsstatement,type,format,format-original,language,date created,date modified,cdm_url,cdmid,contentdm file name,contentdm file path,objectid,display_template,filename,object_location,image_small,image_thumb,errors
Lyle A. Packard on his team of horses,"Lyle A Packard, a farmer, in his field in Genesee.",,Wilma Daniels,,1928,yes,farming; horses; plows,"Genesee, ID",United States,Idaho,Latah County,Genesee,46.651938,-116.91762,CH_DanielsW_001,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpeg,photograph,eng,2017-03-10,2017-05-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/0,0,1.jp2,/lcheritage/image/1.jp2,lcheritage0,image,lcheritage0.jpg,https://objects.lib.uidaho.edu/lcheritage/lcheritage0.jpg,https://objects.lib.uidaho.edu/lcheritage/small/lcheritage0_sm.jpg,https://objects.lib.uidaho.edu/lcheritage/thumbs/lcheritage0_th.jpg,""
Melton couple in front of home,Bill and Minnie Melton standing in front of their home.,,Wilma Daniels,,1950,yes,houses; men; women,"Viola, ID",United States,Idaho,Latah County,Viola,46.838358,-117.024447,CH_DanielsW_010,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpeg,photograph,eng,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/1,1,10.jp2,/lcheritage/image/10.jp2,lcheritage1,image,lcheritage1.jpg,https://objects.lib.uidaho.edu/lcheritage/lcheritage1.jpg,https://objects.lib.uidaho.edu/lcheritage/small/lcheritage1_sm.jpg,https://objects.lib.uidaho.edu/lcheritage/thumbs/lcheritage1_th.jpg,""
Packard children in front of piano as Christmas Card,"The Packard Family Christmas card. Individuals identified left to right, back to front: Cecil, Doris, Donna, Wilma, Mildred.",,Wilma Daniels,,1943-12-03,,families; houses; portraits,"Moscow, ID",United States,Idaho,Latah County,Moscow,46.725892,-116.988462,CH_DanielsW_011,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpeg,photograph,eng,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/2,2,11.jp2,/lcheritage/image/11.jp2,lcheritage2,image,lcheritage2.jpg,https://objects.lib.uidaho.edu/lcheritage/lcheritage2.jpg,https://objects.lib.uidaho.edu/lcheritage/small/lcheritage2_sm.jpg,https://objects.lib.uidaho.edu/lcheritage/thumbs/lcheritage2_th.jpg,""
Packard children in front of piano,"Family photo used for Christmas card. Individuals identified left to right, back to front: Cecil, Doris, Donna, Wilma, Mildred.",,Wilma Daniels,,1943-12-03,,families; houses; portraits,"Moscow, ID",United States,Idaho,Latah County,Moscow,46.725892,-116.988462,CH_DanielsW_012,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpeg,document,eng,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/3,3,12.jp2,/lcheritage/image/12.jp2,lcheritage3,image,lcheritage3.jpg,https://objects.lib.uidaho.edu/lcheritage/lcheritage3.jpg,https://objects.lib.uidaho.edu/lcheritage/small/lcheritage3_sm.jpg,https://objects.lib.uidaho.edu/lcheritage/thumbs/lcheritage3_th.jpg,""
Family tradition of cutting down Christmas tree,"The Daniels family enjoying a picnic while out cutting down the Christmas tree as per tradition. Individuals identified by activity and clothing: Wiley Daniels with stick, son Lawrence Daniels sitting down, Aunt Monty in yellow, Wilma in sweatshirt, Johann at right.",,Wilma Daniels,,1997-11-28,,timber; holidays; traditions,"Viola, ID",United States,Idaho,Latah County,Viola,46.841469,-116.97709,CH_DanielsW_014,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpeg,photograph,eng,2017-03-10,2017-05-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/4,4,13.jp2,/lcheritage/image/13.jp2,lcheritage4,image,lcheritage4.jpg,https://objects.lib.uidaho.edu/lcheritage/lcheritage4.jpg,https://objects.lib.uidaho.edu/lcheritage/small/lcheritage4_sm.jpg,https://objects.lib.uidaho.edu/lcheritage/thumbs/lcheritage4_th.jpg,""
Lawrence Daniels holding fresh cut tree,"Lawrence Daniels holds the freshly cut tree from the annual family Christmas tree cutting tradition near Flannigan Creek in Viola, Idaho.",,Wilma Daniels,,1997-11-28,,timber; holidays; traditions,"Viola, ID",United States,Idaho,Latah County,Viola,46.841469,-116.97706,CH_DanielsW_015,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpeg,photograph,eng,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/5,5,14.jp2,/lcheritage/image/14.jp2,lcheritage5,image,lcheritage5.jpg,https://objects.lib.uidaho.edu/lcheritage/lcheritage5.jpg,https://objects.lib.uidaho.edu/lcheritage/small/lcheritage5_sm.jpg,https://objects.lib.uidaho.edu/lcheritage/thumbs/lcheritage5_th.jpg,""
Johann Miner (son-in-law of Wilma Daniels) in front of tree with axe,"The family chopped down a Christmas tree on Thanksgiving weekend as tradition, up near Flanigan Creek.",,Wilma Daniels,,1997-11-28,,timber; holidays; traditions,"Viola, ID",United States,Idaho,Latah County,Viola,46.841469,-116.97712,CH_DanielsW_013,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpeg,photograph,eng,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/6,6,15.jp2,/lcheritage/image/15.jp2,lcheritage6,image,lcheritage6.jpg,https://objects.lib.uidaho.edu/lcheritage/lcheritage6.jpg,https://objects.lib.uidaho.edu/lcheritage/small/lcheritage6_sm.jpg,https://objects.lib.uidaho.edu/lcheritage/thumbs/lcheritage6_th.jpg,""
Kelvin Daniels in front of fire,"Kelvin Daniels cooks hot dogs on a stick over the fire at the annual family Christmas tree cutting tradition in Viola, Idaho",,Wilma Daniels,,1997-11-28,,timber; holidays; traditions,"Viola, ID",United States,Idaho,Latah County,Viola,46.841469,-116.97701,CH_DanielsW_016,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpeg,photograph,eng,2017-03-10,2017-05-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/7,7,16.jp2,/lcheritage/image/16.jp2,lcheritage7,image,lcheritage7.jpg,https://objects.lib.uidaho.edu/lcheritage/lcheritage7.jpg,https://objects.lib.uidaho.edu/lcheritage/small/lcheritage7_sm.jpg,https://objects.lib.uidaho.edu/lcheritage/thumbs/lcheritage7_th.jpg,""
Auction Sale orange flyer,"Lyle Packard sold his property from the farm at this auction sale. The flier reads """"Having leased my placed and quitting farming on the Old Guy Senter place, 1 1/2 miles northwest of Troy and 8 miles east of Robinson Lake, I will sell all my machinery and equipment and some household goods on Sat., June 15, 1963 -- 12:30 P.M.""""",,Wilma Daniels,,1963-06-15,,signs; fliers; auction,"Troy, ID",United States,Idaho,Latah County,Troy,46.740338,-116.777909,CH_DanielsW_017,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,text,image/jpeg,document,eng,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/8,8,17.jp2,/lcheritage/image/17.jp2,lcheritage8,image,lcheritage8.jpg,https://objects.lib.uidaho.edu/lcheritage/lcheritage8.jpg,https://objects.lib.uidaho.edu/lcheritage/small/lcheritage8_sm.jpg,https://objects.lib.uidaho.edu/lcheritage/thumbs/lcheritage8_th.jpg,""
Public sale flyer,"Lyle Packard sold his property in this joint-family public sale. Both Lyle Packard and McCoy participated in the sale dated Friday October 1, 1943.",,Wilma Daniels,,1943-10-01,,signs; fliers; auction,"Moscow, ID",United States,Idaho,Latah County,Moscow,46.749789,-117.00405,CH_DanielsW_018,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,text,image/jpeg,document,eng,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/9,9,18.jp2,/lcheritage/image/18.jp2,lcheritage9,image,lcheritage9.jpg,https://objects.lib.uidaho.edu/lcheritage/lcheritage9.jpg,https://objects.lib.uidaho.edu/lcheritage/small/lcheritage9_sm.jpg,https://objects.lib.uidaho.edu/lcheritage/thumbs/lcheritage9_th.jpg,""
