filename,title,description,creator,donor,contributor,date,date is approximate,subject,location,latitude,longitude,relation,publisher,source,identifier,rights,rightsstatement,format original,type,format,language,oclc number,Date created,Date modified,cdm_url,cdmid,CONTENTdm file name,CONTENTdm file path,objectid,display_template,filename,object_location,image_small,image_thumb,errors
,105 Train Cars of Logs,"The longest log train in the world of 105 cars in Potlatch, Idaho.",,,Potlatch Historical Society,1905-03-20,yes,logging; logs; train,United States;Idaho;Latah County;Deep Creek,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Deep Creek 2, Potlatch Historical Society",Gale_DeepCreek2-11a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/551,551,19.jp2,/phs/image/19.jp2,phs551,image,phs551.jpg,https://objects.lib.uidaho.edu/phs/phs551.jpg,https://objects.lib.uidaho.edu/phs/small/phs551_sm.jpg,https://objects.lib.uidaho.edu/phs/thumbs/phs551_th.jpg,
,16' by 4' Slab Wood,"A photograph of 16' by 4' slab wood piled to dry. The caption on the photo says there was a good market for this wood but there is no information as to what is was sold for- wholesale or retail. The following is a contract price list they paid per cord: picking 16'_ .25?, tied edgings,- .50?, picking 4'- .23?, piling 4'- .18?, hauling green- .50?, hauling dry on hill,- .40?, hauling tie ends,- .35?.",,,Potlatch Historical Society,1910,yes,Lumber Sales,United States;Idaho;Latah County;Potlatch,46.928036,-116.911513,Potlatch Corporation,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Town, Potlatch Historical Society",Gale_Town_43b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1157,1157,735.jp2,/phs/image/735.jp2,phs1157,image,phs1157.jpg,https://objects.lib.uidaho.edu/phs/phs1157.jpg,https://objects.lib.uidaho.edu/phs/small/phs1157_sm.jpg,https://objects.lib.uidaho.edu/phs/thumbs/phs1157_th.jpg,
,1904 Grain Harvesting,An article from the Palouse Republic with an image from 1904 of the piles of 100 pound sacks of grain and men who piled them on to the wagons used to transport them.,,,Potlatch Historical Society,1976-07-08,,grain; wagon; horses,United States;Idaho;Latah County;Deep Creek,46.927,-117.1075,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Deep Creek 2, Potlatch Historical Society",Gale_DeepCreek2-29,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,newspaper,Image;StillImage,image/jpeg,eng,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1018,1018,61.jp2,/phs/image/61.jp2,phs1018,image,phs1018.jpg,https://objects.lib.uidaho.edu/phs/phs1018.jpg,https://objects.lib.uidaho.edu/phs/small/phs1018_sm.jpg,https://objects.lib.uidaho.edu/phs/thumbs/phs1018_th.jpg,
,1910 Flood,A photograph showing the three 20 foot gates and the one 10 foot gate open during the 1910 flood.,,,Potlatch Historical Society,1910,yes,Sawmill; Floods,United States;Idaho;Latah County;Potlatch,46.921952,-116.909327,Paul Welo,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Plant, Potlatch Historical Society",Gale_Plant_26c,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/733,733,353.jp2,/phs/image/353.jp2,phs733,image,phs733.jpg,https://objects.lib.uidaho.edu/phs/phs733.jpg,https://objects.lib.uidaho.edu/phs/small/phs733_sm.jpg,https://objects.lib.uidaho.edu/phs/thumbs/phs733_th.jpg,
,1910 Flood,A photograph of the mill in 1910 during the flood,,,Potlatch Historical Society,1910,yes,Sawmill; Floods,United States;Idaho;Latah County;Potlatch,46.921314,-116.907952,Gale File,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Plant, Potlatch Historical Society",Gale_Plant_44b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/824,824,435.jp2,/phs/image/435.jp2,phs824,image,phs824.jpg,https://objects.lib.uidaho.edu/phs/phs824.jpg,https://objects.lib.uidaho.edu/phs/small/phs824_sm.jpg,https://objects.lib.uidaho.edu/phs/thumbs/phs824_th.jpg,
,1910 Green Chain Crew,A photograph of the Green Chain Crew in 1910.,,,Potlatch Historical Society,1910,yes,Sawmill Employees,United States;Idaho;Latah County;Potlatch,46.925984,-116.908457,Potlatch Corporation,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Plant, Potlatch Historical Society",Gale_Plant_45a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpeg,eng,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/825,825,436.jp2,/phs/image/436.jp2,phs825,image,phs825.jpg,https://objects.lib.uidaho.edu/phs/phs825.jpg,https://objects.lib.uidaho.edu/phs/small/phs825_sm.jpg,https://objects.lib.uidaho.edu/phs/thumbs/phs825_th.jpg,
,1916 Chevrolet,"Paps first car, a 1916 Cheverlot.",,Gary Strong,Potlatch Historical Society,1917-01-01,yes,automobiles,United States;Idaho;Latah County;Potlatch,47.026931,-116.895702,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Latah County Common Heritage Collection - https://www.lib.uidaho.edu/digital/lcheritage/index.html,CH_StrongG_004,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/NoC-US/1.0/",https://creativecommons.org/publicdomain/mark/1.0/,photograph,Image;StillImage,image/jpeg,eng,,2017-10-02,2017-10-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1766,1766,1767.jp2,/phs/image/1767.jp2,phs1766,image,phs1766.jpg,https://objects.lib.uidaho.edu/phs/phs1766.jpg,https://objects.lib.uidaho.edu/phs/small/phs1766_sm.jpg,https://objects.lib.uidaho.edu/phs/thumbs/phs1766_th.jpg,
,1943 Memoirs,Max Davis's memory book from his high school graduation in 1943. It contains signatures and well-wishes from classmates.,,"Davis, Ann",Potlatch Historical Society,1943-01-01,yes,annuals; commencement; students; schools,United States;Idaho;Latah County;Potlatch,46.92129,-116.897646,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Latah County Common Heritage Collection - https://www.lib.uidaho.edu/digital/lcheritage/index.html,CH_DavisA_054,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,yearbook,text,application/pdf,eng,,2017-10-02,2017-10-02,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1623,1623,1624.pdf,/phs/image/1624.pdf,phs1623,pdf,phs1623.pdf,https://objects.lib.uidaho.edu/phs/phs1623.pdf,https://objects.lib.uidaho.edu/phs/small/phs1623_sm.jpg,https://objects.lib.uidaho.edu/phs/thumbs/phs1623_th.jpg,
,1st Wagon Road to Zimmerman Place,"The 1st wagon road up to Rudolph Zimmerman Place on  Deep Creek, Idaho.",,,Potlatch Historical Society,1989-10-01,yes,road; forest,United States;Idaho;Latah County;Deep Creek,46.98241,-116.900966,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Deep Creek 2, Potlatch Historical Society",Gale_DeepCreek2-14a,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,color image,Image;StillImage,image/jpeg,eng,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/618,618,25.jp2,/phs/image/25.jp2,phs618,image,phs618.jpg,https://objects.lib.uidaho.edu/phs/phs618.jpg,https://objects.lib.uidaho.edu/phs/small/phs618_sm.jpg,https://objects.lib.uidaho.edu/phs/thumbs/phs618_th.jpg,
,1st Wagon Road to Zimmerman Place,"The 1st wagon road up to Rudolph Zimmerman Place on  Deep Creek, Idaho.",,,Potlatch Historical Society,1989-10-01,yes,road; forest,United States;Idaho;Latah County;Deep Creek,46.98241,-116.900966,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Deep Creek 2, Potlatch Historical Society",Gale_DeepCreek2-14b,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,color image,Image;StillImage,image/jpeg,eng,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/629,629,26.jp2,/phs/image/26.jp2,phs629,image,phs629.jpg,https://objects.lib.uidaho.edu/phs/phs629.jpg,https://objects.lib.uidaho.edu/phs/small/phs629_sm.jpg,https://objects.lib.uidaho.edu/phs/thumbs/phs629_th.jpg,
