objectid,filename,title,creator,date,archival_date,description,image_alt_text,subject,source,identifier,relation,type,format_original,format,finding_aid,digital_collection,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
kibbiedome001,20121117_football_vs_utsa-62.jpg,University of Idaho football game versus University of Texas at San Antonio,Argonaut,2012,2012-11-17,"View from the end zone of the Kibbie Dome during the November 17, 2012, University of Idaho football game against University of Texas San Antonio. The Vandals lost 27-34.",,football (sports); stadiums,"The Argonaut digital materials, UG 130, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",,,Image;StillImage,color digital photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv480809,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/kibbiedome/20121117_football_vs_utsa-62.jpg,https://objects.lib.uidaho.edu/kibbiedome/small/20121117_football_vs_utsa-62_sm.jpg,https://objects.lib.uidaho.edu/kibbiedome/thumbs/20121117_football_vs_utsa-62_th.jpg
kibbiedome002,angelawhyte_12-14_3.jpg,Hurdler Angela Whyte in the Kibbie Dome,Argonaut,2003,2001-2003,"Angela Whyte stretching in the Kibbie Dome. Whyte attended the University of Idaho from 2001 to 2003. She competed in many international competitions including the 2004, 2008, and 2016 Summer Olympic Games.",,track and field (sport); stadiums; athletes,"The Argonaut digital materials, UG 130, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",,,Image;StillImage,color digital photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv480809,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/kibbiedome/angelawhyte_12-14_3.jpg,https://objects.lib.uidaho.edu/kibbiedome/small/angelawhyte_12-14_3_sm.jpg,https://objects.lib.uidaho.edu/kibbiedome/thumbs/angelawhyte_12-14_3_th.jpg
kibbiedome003,argonaut_02-15-1983_p6.pdf,Montana dashes win streak and host hopes,,1983,1983-02-15,Montana dashes win streak and host hopes,,football (sports); stadiums,"University of Idaho Argonaut, UIARG, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",,,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv736406,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/kibbiedome/argonaut_02-15-1983_p6.pdf,https://objects.lib.uidaho.edu/kibbiedome/small/argonaut_02-15-1983_p6_sm.jpg,https://objects.lib.uidaho.edu/kibbiedome/thumbs/argonaut_02-15-1983_p6_th.jpg
kibbiedome004,argonaut_03-09-1993_p15.pdf,TEAMTENNIS and King both a success over weekend,"Wilson, Missy",1993,1993-03-09,TEAMTENNIS and King both a success over weekend,,tennis; sports,"University of Idaho Argonaut, UIARG, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",,,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv736406,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/kibbiedome/argonaut_03-09-1993_p15.pdf,https://objects.lib.uidaho.edu/kibbiedome/small/argonaut_03-09-1993_p15_sm.jpg,https://objects.lib.uidaho.edu/kibbiedome/thumbs/argonaut_03-09-1993_p15_th.jpg
kibbiedome005,argonaut_03-10-1978_p8-9.pdf,Heart,"Judy, Eddie Sue",1978,1978-03-10,Heart,,musicians; concerts (performances),"University of Idaho Argonaut, UIARG, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",,,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv736406,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/kibbiedome/argonaut_03-10-1978_p8-9.pdf,https://objects.lib.uidaho.edu/kibbiedome/small/argonaut_03-10-1978_p8-9_sm.jpg,https://objects.lib.uidaho.edu/kibbiedome/thumbs/argonaut_03-10-1978_p8-9_th.jpg
kibbiedome006,argonaut_04-05-2005_p1.pdf,Relay for Life: Local groups walk for charity event,"Cox, Camerly",2005,2005-04-05,Relay for Life: Local groups walk for charity event,,walking; charities (nonprofit organizations); indoor tracks,"University of Idaho Argonaut, UIARG, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",,,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv736406,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/kibbiedome/argonaut_04-05-2005_p1.pdf,https://objects.lib.uidaho.edu/kibbiedome/small/argonaut_04-05-2005_p1_sm.jpg,https://objects.lib.uidaho.edu/kibbiedome/thumbs/argonaut_04-05-2005_p1_th.jpg
kibbiedome007,argonaut_04-12-1983_p2.pdf,Special Olympics held in Dome,,1983,1983-04-12,Special Olympics held in Dome,,sports; athletes; stadiums,"University of Idaho Argonaut, UIARG, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",,,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv736406,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/kibbiedome/argonaut_04-12-1983_p2.pdf,https://objects.lib.uidaho.edu/kibbiedome/small/argonaut_04-12-1983_p2_sm.jpg,https://objects.lib.uidaho.edu/kibbiedome/thumbs/argonaut_04-12-1983_p2_th.jpg
kibbiedome008,argonaut_04-12-1983_p7.pdf,Rodeo club readies for its biggest event ever,"Gehrke, Craig",1983,1983-04-12,Rodeo club readies for its biggest event ever,,rodeos; stadiums,"University of Idaho Argonaut, UIARG, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",,,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv736406,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/kibbiedome/argonaut_04-12-1983_p7.pdf,https://objects.lib.uidaho.edu/kibbiedome/small/argonaut_04-12-1983_p7_sm.jpg,https://objects.lib.uidaho.edu/kibbiedome/thumbs/argonaut_04-12-1983_p7_th.jpg
kibbiedome009,argonaut_04-15-1977_p14.pdf,Willie Nelson may be semester's last,,1977,1977-04-15,Willie Nelson may be semester's last,,musicians; concerts (performances),"University of Idaho Argonaut, UIARG, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",,,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv736406,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/kibbiedome/argonaut_04-15-1977_p14.pdf,https://objects.lib.uidaho.edu/kibbiedome/small/argonaut_04-15-1977_p14_sm.jpg,https://objects.lib.uidaho.edu/kibbiedome/thumbs/argonaut_04-15-1977_p14_th.jpg
kibbiedome010,argonaut_04-19-1977_p7.pdf,Concert Reviews: Murphy big asset to talent-rich Nelson show,"Dokken, David",1977,1977-04-19,Concert Reviews: Murphy big asset to talent-rich Nelson show,,musicians; concerts (performances),"University of Idaho Argonaut, UIARG, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",,,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv736406,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/kibbiedome/argonaut_04-19-1977_p7.pdf,https://objects.lib.uidaho.edu/kibbiedome/small/argonaut_04-19-1977_p7_sm.jpg,https://objects.lib.uidaho.edu/kibbiedome/thumbs/argonaut_04-19-1977_p7_th.jpg
