objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format original,format,finding aid,digital collection,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
ug138_1_1_001.jpg,Black bean aphid,Unknown,,A black and white still photo of black bean aphid colonizing on leaf. ,"Insecta (class), Hemiptera (order), plant material",,,,"Insect and Parasite Photographs, UG 138, University of Idaho Library Special Collections and Archives",UG138_1_1_001,Image;Still Image,black-and-white photograph,image/jpeg,,Insect and Parasite Photographs,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,,,
ug138_1_1_002.jpg,Sugarbeet root aphid,"Peay, Walter E.",1965,A black and white still photo of sugarbeet root aphid on beet roots.,"Insecta (class), Hemiptera (order), plant material","Twin Falls, Idaho",42.562786,-114.460503,"Insect and Parasite Photographs, UG 138, University of Idaho Library Special Collections and Archives",UG138_1_1_002,Image;Still Image,black-and-white photograph,image/jpeg,,Insect and Parasite Photographs,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,,,
ug138_1_1_003.jpg,Sugarbeet root aphid,"Peay, Walter E.",1963,A black and white still image of sugarbeet root aphid in petri dish.,"Insecta (class), Hemiptera (order), petri dishes","Twin Falls, Idaho",42.562786,-114.460503,"Insect and Parasite Photographs, UG 138, University of Idaho Library Special Collections and Archives",UG138_1_1_003,Image;Still Image,black-and-white photograph,image/jpeg,,Insect and Parasite Photographs,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,,,
ug138_1_1_004.jpg,Green peach aphid,"Peay, Walter E.",1965,A black and white still image of green peach aphids on a beet leaf. ,"Insecta (class), Hemiptera (order), plant material","Twin Falls, Idaho",42.562786,-114.460503,"Insect and Parasite Photographs, UG 138, University of Idaho Library Special Collections and Archives",UG138_1_1_004,Image;Still Image,black-and-white photograph,image/jpeg,,Insect and Parasite Photographs,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,,,
ug138_1_1_005.jpg,Corn earworm,"Hallock, Harold C.",1954-08,A black and white still image of corn earworm larvae.,"Insect (class), Lepidoptera (order), larvae","Twin Falls, Idaho",42.562786,-114.460503,"Insect and Parasite Photographs, UG 138, University of Idaho Library Special Collections and Archives",UG138_1_1_005,Image;Still Image,black-and-white photograph,image/jpeg,,Insect and Parasite Photographs,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,,,
ug138_1_1_006.jpg,Symphyla,"Peay, Walter E.",1960,A black and white still photograph of a single symphyla on soil.,"Arthopoda (phylum), Myriapoda (subphylum), soil","Twin Falls, Idaho",42.562786,-114.460503,"Insect and Parasite Photographs, UG 138, University of Idaho Library Special Collections and Archives",UG138_1_1_006,Image;Still Image,black-and-white photograph,image/jpeg,,Insect and Parasite Photographs,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,,,
ug138_1_1_007.jpg,False chinch bug,"Peay, Walter E.",1963,A black and white still photograph of a single false chinch bug.,"Insecta (class), Hemiptera (order), Heteroptera (suborder)","Twin Falls, Idaho",42.562786,-114.460503,"Insect and Parasite Photographs, UG 138, University of Idaho Library Special Collections and Archives",UG138_1_1_007,Image;Still Image,black-and-white photograph,image/jpeg,,Insect and Parasite Photographs,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,,,
ug138_1_1_008.jpg,Alfalfa looper larvae,"Peay, Walter E.",1957-06,A black and white still photograph of alfalfa looper larvae that was found damaging leaves.,"Insecta (class),Lepidoptera (order), larvae","Twin Falls, Idaho",42.562786,-114.460503,"Insect and Parasite Photographs, UG 138, University of Idaho Library Special Collections and Archives",UG138_1_1_008,Image;Still Image,black-and-white photograph,image/jpeg,,Insect and Parasite Photographs,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,,,
ug138_1_1_009.jpg,Alfalfa looper moth,"Peay, Walter E.",1955-1965,A black and white still imgae of an alfalfa looper moth.,"Insecta (class),Lepidoptera (order), moths (general)","Twin Falls, Idaho",42.562786,-114.460503,"Insect and Parasite Photographs, UG 138, University of Idaho Library Special Collections and Archives",UG138_1_1_009,Image;Still Image,black-and-white photograph,image/jpeg,,Insect and Parasite Photographs,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,,,
ug138_1_1_010.jpg,Lygus,"Peay, Walter E.",1955-1965,A black and white still photograph of a lygus on a leaf.,"Insecta (class), Hemiptera (order), Heteroptera (suborder)","Twin Falls, Idaho",42.562786,-114.460503,"Insect and Parasite Photographs, UG 138, University of Idaho Library Special Collections and Archives",UG138_1_1_010,Image;Still Image,black-and-white photograph,image/jpeg,,Insect and Parasite Photographs,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,,,
