objectid,parentid,title,creator,location,latitude,longitude,date,recipient,recipient_location,description,subject,source,type,format,language,rights,rightsstatement,identifier,display_template,filename,object_location,image_small,image_thumb,image_alt_text,object_transcript
mosher001,,"Raycide Mosher to Henry ""Harry"" and Sarah ""Sally"" Mosher, 1864-01-15","Mosher, Raycide","Detroit, Michigan",42.33416366,-83.04867331,1864-01-15,"Mosher, Henry; Mosher, Sarah","Albion, Michigan","Letter from Raycide Mosher to his father, Henry ""Harry"" Mosher, and mother, Sarah ""Sally"" Mosher; includes description of the Detroit-area barracks where Raycide was staying, his equipment, his pay, and when he expected to be mustered.",soldiers; civil wars; barracks,"MG 118, Raycide Mosher Civil War Letters, Special Collections and Archives, University of Idaho Library",Text,application/pdf,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users",http://rightsstatements.org/vocab/NoC-US/1.0/,mg118_folder1_01,compound_object,,https://objects.lib.uidaho.edu/mosher/mg118_folder1_01.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder1_01_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder1_01_th.jpg,,
mosher002,mosher001,,,,,,,,,,,,,application/pdf,,,,mg118_folder1_01,pdf,mg118_folder1_01.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder1_01.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder1_01_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder1_01_th.jpg,
mosher003,mosher001,,,,,,,,,,,,,application/pdf,,,,mg118_folder1_02,pdf,mg118_folder1_02.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder1_02.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder1_02_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder1_02_th.jpg,
mosher004,mosher001,,,,,,,,,,,,,application/pdf,,,,mg118_folder1_03,pdf,mg118_folder1_03.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder1_03.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder1_03_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder1_03_th.jpg,,
mosher005,mosher001,,,,,,,,,,,,,application/pdf,,,,mg118_folder1_04,pdf,mg118_folder1_04.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder1_04.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder1_04_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder1_04_th.jpg,,
mosher006,mosher001,,,,,,,,,,,,,application/pdf,,,,mg118_folder1_05,pdf,mg118_folder1_05.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder1_05.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder1_05_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder1_05_th.jpg,,
mosher007,,"Raycide Mosher to Henry ""Harry"" and Sarah ""Sally"" Mosher, 1864-01-31","Mosher, Raycide","Nashville, Tennessee",36.1640177,-86.78380903,1864-01-31,"Mosher, Henry; Mosher, Sarah","Albion, Michigan","Letter from Raycide Mosher to his father, Henry ""Harry"" Mosher, and mother, Sarah ""Sally"" Mosher; includes description of Raycide's experiences in his camp near Nashville, his health, and the companies in his regiment.",soldiers; civil wars; military camps,"MG 118, Raycide Mosher Civil War Letters, Special Collections and Archives, University of Idaho Library",Text,application/pdf,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users",http://rightsstatements.org/vocab/NoC-US/1.0/,mg118_folder2_01,compound_object,,https://objects.lib.uidaho.edu/mosher/mg118_folder2_01.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder2_01_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder2_01_th.jpg,,
mosher008,mosher007,,,,,,,,,,,,,application/pdf,,,,mg118_folder2_01,pdf,mg118_folder2_01.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder2_01.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder2_01_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder2_01_th.jpg,,
mosher009,mosher007,,,,,,,,,,,,,application/pdf,,,,mg118_folder2_02,pdf,mg118_folder2_02.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder2_02.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder2_02_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder2_02_th.jpg,,
mosher010,mosher007,,,,,,,,,,,,,application/pdf,,,,mg118_folder2_03,pdf,mg118_folder2_03.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder2_03.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder2_03_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder2_03_th.jpg,,
